csv_name,start_date,end_date,total_data
customers.csv,2024-10-17 22:52:34.692856,2024-10-17 22:52:37.673161,99441
products.csv,2024-10-17 22:52:37.781485,2024-10-17 22:52:39.053847,32951
sellers.csv,2024-10-17 22:52:39.087372,2024-10-17 22:52:39.300418,3095
geolocation.csv,2024-10-17 22:52:39.306522,2024-10-17 22:53:45.624773,1000163
orders.csv,2024-10-17 22:53:46.161666,2024-10-17 22:53:51.773521,99441
order_items.csv,2024-10-17 22:53:52.030345,2024-10-17 22:53:58.315449,112650
order_payments.csv,2024-10-17 22:53:58.512327,2024-10-17 22:54:05.999460,103886
order_reviews.csv,2024-10-17 22:54:06.086790,2024-10-17 22:54:11.219181,99224
product_category_name_translation.csv,2024-10-17 22:54:11.520838,2024-10-17 22:54:11.533970,71
