table_name,start_date,end_date,total_data
dim_customer,2024-10-18 16:32:57.479387,2024-10-18 16:33:03.748009,99441
dim_product,2024-10-18 16:33:03.748009,2024-10-18 16:33:05.285729,32951
dim_seller,2024-10-18 16:33:05.285729,2024-10-18 16:33:05.491958,3095
fact_order,2024-10-18 16:33:05.491958,2024-10-18 16:33:15.705273,99441
fact_order_items,2024-10-18 16:33:15.705273,2024-10-18 16:33:25.042394,99441
fact_customer_feedback,2024-10-18 16:33:25.042394,2024-10-18 16:33:29.454957,99224
fact_sales_analysis,2024-10-18 16:33:29.454957,2024-10-18 16:33:37.227980,93846
